abiotic
ablation
ablation zone
abrasion
absolute humidity
absolute zero
absorption
absorption
atmospheric
abstract space
abyssal fan
abyssal plain
acclimation
accretion
accumulation
accumulation zone
acid
acid deposition
acidic
acidic solution
acid precipitation
acid rain
acid shock
actinomycetes
active layer
active remote sensing
actual evapotranspiration
actual mixing ratio
adaptation
adaptive radiation
adiabatic
adiabatic cooling
advection
advection fog
aeolian
aeolian landform
aerial photography
aerobic
aftershock
aggradation
agronomy
a horizon
air mass
air pollution
air pressure
albedo
aleutian low
alfisols
algae
alien species
alkaline
allele
allelopathy
allogenic succession
allopatric speciation
allophane
alluvial fan
alluvial terraces
alluvium
alpha particle
alpine glacier
alpine permafrost
alpine tundra
alternative
hypothesis
altitude
altocumulus clouds
altostratus clouds
amensalism
amino acid
ammonia
ammonium
amphibian
amphibole
anaerobic
andesite
andisols
anemometer
aneroid barometer
angiosperms
angle of incidence
angle of repose
animal
animalia
anion
annual plant
antarctic circle
antarctic high
anticline
anticyclone
aphelion
applied physical geography
aquatic
aquiclude
aquifer
aquifer recharge area
archaea
archaebacteria
archean
archipelago
area studies tradition
arête
arkose
aridisols
artesian water
artesian well
arctic circle
asexual reproduction
assimilation
asthenosphere
astronomy
atmosphere
atmospheric pressure
atmospheric stability
atoll
atom
atomic energy
atomic mass number
atomic number
atomic weight
aurora
autogenic succession
autotroph
autumnal equinox
available water
average global temperature
azimuth
azonal soil
azores high
background extinction
backscattering
backshore
backshore slope
backswamp
backwash
bacteria
badlands
bajada
bank-caving
bar
barchan dune
barometer
barrier beach
barrier island
basal sliding
basalt
basalt plateau
basaltic magma
base
base flow
base level
basement rock
basic
basic solution
basin
batholith
bay
bayhead beach
bay-mouth bar
beach
beach drift
bearing
beaufort wind scale
bed
bedding plane
bed load
bedrock
benthos
bergschrund
berm
bermuda high
beta particle
b horizon
biennial plant
bifurcation ratio
big bang
big crunch
biodiversity
biogeochemical cycling
biogeography
biological amplification
biological weathering
biomass
biome
bioregion
biosphere
biotic
biotic potential
biotite
bird
black body
blizzard
blowout depression
body wave
bog
bolson
boulder
bora
boreal forest
bottomset bed
bowen reaction series
brackish
braided stream
breaker
breccia
brine
british thermal unit
btu
bromeliad
brunisol soil
calcification
calcite
calcium carbonate
caldera
caldera volcano
caliche
calorie
calving
cambrian
cambrian explosion
canadian high
canadian shield
canadian system of soil classification
canopy drip
canyon
capillary action
capillary water
carbohydrate
carbonate
carbonation
carbon cycle
carbon dioxide
carbon monoxide
cardinal points
carnivore
carrying capacity
cartography
cascading system
catastrophism
cation
cation exchange
cation exchange capacity
cave
cavitation
cell
cellular
cellulose
celsius scale
cenozoic
central vent
centripetal force
c horizon
chain reaction
nuclear
chalk
chaparral
chelate
chelation
chemical
chemical autotroph
chemical energy
chemical reaction
chemical weathering
chemosynthesis
chernozem soil
chinook wind
chlorofluorocarbons
cfcs
chlorophyll
chloroplast
chromosome
cinder cone volcano
circle of illumination
circum-pacific belt
cirque
cirque glacier
cirrocumulus clouds
cirrostratus clouds
cirrus clouds
classification
clastic sedimentary rock
clay
cleavage
cliff
climap project
climate
climatic optimum
climatology
climax community
climograph
clone
closed system
closed talik
cloud
coal
coalescence
coastal dune
coastal wetland
coastal zone
coastline
coefficient of determination
coevolution
col
cold desert
cold front
cold glacier
colonization
comet
commensialism
community
community boundary
compass
competition
competitive exclusion
composite volcano
composites
compound
concrete space
condensation
condensation nuclei
conduction
cone of depression
confined aquifer
confined groundwater
conglomerate
coniferous vegetation
conservation biology
consumer
contact metamorphism
continental arctic air mass
continental crust
continental divide
continental drift
continental effect
continental glacier
continental ice sheet
continental margin
continental plate
continental polar air mass
cp
continental rise
continental shelf
continental shelf break
continental shield
continental slope
continental tropical air mass
ct
contour
line
contour interval
control system
continuous permafrost
convection
convection current
convectional lifting
convectional precipitation
convergence
convergence precipitation
convergent lifting
coordinated universal time
utc
coral
coral bleaching
coral reef
core
coriolis
force
correlation coefficient
coulee
counter-radiation
craton
crater
creep
cretaceous
crevasse
critical entrainment velocity
crust
cryosol soil
cryostatic pressure
cryotic
cumulus cloud
cumulonimbus cloud
cuspate foreland
cyanobacteria
cyclogenesis
cyclone
cytoplasm
day length
daylight savings time
ebris flow
december solstice
declination
deciduous vegetation
decomposition
decomposer
deduction
deflation
deflation hollow
deforestation
degradation
delta
dendritic
denitrification
denudation
density
of matter
deoxyribonucleic acid
dna
dependent variable
deposition
depositional landform
deposition nuclei
depression
deranged drainage
desert
desertification
desert pavement
detachment
detrital rock
detritus
detritus
detritus food chain
detritivore
deuterium
devonian
dew
dew point
diffused
solar radiation
diffusion
diorite
dip
diploid
direct solar radiation
discharge
discontinuous permafrost
dispersal
dissociation
dissolution
dissolved load
distance ratio
distributary
distributional limit
disturbance
diurnal tide
divergence
divergent evolution
diversity
divide
doldrums
dolomite
downdraft
downwelling current
dune
dune field
dust dome
drainage basin
drainage density
drainage divide
drainage network
drainage pattern
drainage wind
drift
drought
drumlin
dry adiabatic lapse rate
dalr
dry-bulb thermometer
dry deposition
dry line
dyke
dynamic equilibrium
dynamic metamorphism
dyne
earth albedo
earthflow
earthquake
earthquake focus
earth revolution
earth rotation
earth sciences tradition
easterly wave
easting
ebb tide
eccentricity
ecological diversity
