abdomen
abiotic
abscisic acid
abscission
absorption
absorption spectrum
abyssal zone
acclimatization
accommodation
acetylcholine
acetyl coa
acid
acid precipitation
acoelomate
acrosome
acth
actin
action potential
activation energy
active site
active transport
adaptation
adaptive peak
adaptive radiation
adenosine diphosphate
adenosine monophosphate
adenosine triphosphate
adenylyl cyclase
adh
adhesion
adp
adrenal gland
adrenaline
adrenocorticotropic hormone
adventitious
aerobic
afferent
agar
age structure
agnathan
agonistic behavior
aids
aldehyde
aldosterone
aleurone layer
alga
algae
alkaline
all-or-none event
allantois
allele
allele frequency
allergic reaction
allometric growth
allopatric speciation
allopolyploid
allosteric site
allozymes
alpha helix
alternation of generations
alternative splicing
altruistic behavior
alveolus
alveoli
amino acid
amino group
aminoacyl—trna synthetases
ammonification
amniocentesis
amnion
amniote
amniotic egg
amoeboid
amp
amphibia
amphipathic molecule
anabolic steroids
anabolism
anaerobic
anagenesis
analogy
analogous
anaphase
androgen
aneuploidy
angiosperm
anion
annual
antennae
anterior
anther
antheridium
antheridia
anthocyanin
anthropoid
antibiotic
antibody
anticodon
antidiuretic hormone
antigen
aorta
aphotic zone
apical dominance
apical meristem
apomorphic character
apoplast
apoptosis
aposematic coloration
aquaporin
aqueous solution
arboreal
archaea
archegonium
archegonia
archenteron
archezoa
arteriole
artery
arteriosclerosis
artificial selection
ascus
asci
asexual reproduction
assimilation
associative learning
assortative mating
asymmetric carbon
atmospheric pressure
atom
atomic number
atomic weight
atp
atp synthase
atrioventricular node
atrioventricular valve
atrium
atria
autogenesis model
autoimmune disease
autonomic nervous system
autopolyploid
autosome
autotroph
auxin
auxotroph
aves
axillary bud
axis
axon
b cell
bacteria
bacteriophage
bacterium
bacteria
balanced polymorphism
bark
barr body
basal body
basal metabolic rate
base
basement membrane
base-pair substitution
base-pairing principle
basidium
basidia
batesian mimicry
behavior
behavioral ecology
benthic zone
biennial
bilateral symmetry
bilateria
bile
binary fission
binomial
biochemical pathway
biodiversity hotspot
bioenergetics
biogeochemical cycles
biogeography
biological clock
biological magnification
biological species
biomass
biome
biosphere
biosynthesis
biotechnology
biotic
bipedal
blade
blastocoel
blastocyst
blastodisc
blastopore
blastula
blood
blood-brain barrier
blood pressure
bond energy
bond strength
book lungs
botany
bottleneck effect
bowman's capsule
box
brain
brainstem
bryophyte
bronchus
bronchi
bud
budding
buffer
bulb
bulbourethral gland
bulk flow
bundle of his
pathway
c plant
c pathway
c plant
calcitonin
callus
calmodulin
calorie
calvin cycle
calyx
cam photosynthesis
cam plant
cambrian explosion
capillary
capillary action
capsid
capsule
carbohydrate
carbon cycle
carbon fixation
carbonyl group
carboxyl group
carcinogen
cardiac muscle
cardiac output
cardiovascular system
carnivore
carotenoids
carpel
carrying capacity
cartilage
casparian strip
catabolic pathway
catabolism
catabolite activator protein
catalyst
category
cation
cation exchange
cell
cell center
cell cycle
cell-cycle control system
cell fractionation
cell-mediated immunity
cell membrane
cell plate
cell theory
cell wall
cellular differentiation
cellular respiration
cellulose
celsius scale
central nervous system
centriole
centromere
centrosome
cephalochordate
cerebellum
cerebral cortex
cerebrum
chaparral
character displacement
chemical bond
chemical equilibrium
chemical reaction
chemiosmosis
chemiosmotic coupling
chemoautotroph
chemoheterotroph
chemoreceptor
chemosynthetic
chiasma
chiasmata
chitin
chlorophyll
chloroplast
cholesterol
chondrichthyes
chondrin
chordate
chorion
chorionic villus sampling
chromatid
chromatin
chromista
chromosome
chromosome map
chytrid
cilium
cilia
circadian rhythms
cladistics
cladogenesis
cladogram
class
classical conditioning
cleavage
cleavage furrow
cline
cloaca
clonal selection
clone
cloning vector
closed circulatory system
cnidocyte
cochlea
codominance
codon
coelom
coelomate
coenocytic
coenzyme
coevolution
cofactor
cohesion
cohesion species concept
cohesion-tension theory
cold aclimation response
coleoptile
collagen
collecting duct
collenchyma cell
colony
commensalism
community
companion cell
competition
competitive exclusion principle
competitive inhibitor
complement fixation
complement system
complementary dna
complete digestive tract
complete flower
compound
compound eye
concentration gradient
condensation
condensation reaction
cone cell
conidium
conidia
conifer
conjugation
connective tissues
conservation biology
continental drift
continuous variation
contraception
convection
convergent evolution
cooperativity
cork
cork cambium
corolla
corpus callosum
corpus lutuem
cortex
cortisol
cotransport
cotyledon
countercurrent exchange
coupled reactions
covalent bond
crassulacean acid metabolism
crista
cristae
cross-fertilization
crossing over
cryptic coloration
cuticle
cyanobacteria
cyclic amp
cyclic electron flow
cyclin
cyclin-dependent kinase
cytochrome
cytokines
cytokinesis
cytokinin
cytoplasm
cytoplasmic determinants
cytoplasmic streaming
cytoskeleton
cytosol
cytotoxic t cell
dalton
darwinian fitness
daughter cell
day-neutral plant
deciduous
decomposers
dehydration reaction
deletion
demography
denaturation
dendrite
denitrification
density
density-dependent factor
density-dependent inhibition
density-independent factors
deoxyribonucleic acid
deoxyribose
dependent variable
depolarization
deposit-feeder
dermal tissue system
dermis
desmosome
determinate cleavage
determinate growth
determination
detritus
detritivores
deuterostome
development
diaphragm
diastole
diastolic pressure
dicot
dicotyledon
differentiation
diffusion
digestion
dihybrid
dihybrid cross
dikaryon
dioecious
dimorphism
diploid cell
directed molecular evolution
directional selection
disaccharide
diurnal
dispersion
diversifying selection
division
dna
dna ligase
dna methylation
dna polymerase
dna probe
domain
dominance hierarchy
dominant allele
dormancy
dorsal
double circulation
double fertilization
double helix
down syndrome
duodenum
duplication
dynein
ecdysone
ecological efficiency
ecological niche
ecological pyramid
ecological species concept
ecological succession
ecology
ecosystem
ecotype
ectoderm
ectotherm
effector cell
efferent
egg
ejaculatory duct
electric potential
electrochemical gradient
electrogenic pump
electromagnetic spectrum
electron
electron acceptor
electron carrier
electron donor
electron microscope
electron shell
electron transport chain
electronegativity
element
embryo
embryo sac
enantiomer
endangered species
endemic species
endemic
endergonic reaction
endocrine gland
endocrine system
endocytosis
endoderm
endodermis
endogenous
endomembrane system
endometrium
endoplasmic reticulum
endorphin
endoskeleton
endosperm
endospore
endosymbiotic theory
endothelium
endotherm
endotoxin
energy
energy of activation
enhancer
entropy
environmental grain
enzyme
epidermis
epigenesis
epididymis
epigenesis
epinephrine
epiphyte
episome
epistasis
epithelial tissue
epitope
equilibrium
equilibrium species
erythrocyte
esophagus
essential amino acids
estivation
estrogens
estrous cycle
ethology
ethylene
etiolation
euchromatin
eukaryotic cell
eukaryote
eumetazoa
eusocial
eutherian mammals
eutrophic lake
eutrophication
evaporative cooling
evolution
evolutionary species concept
exaptation
excitatory postsynaptic potential
excretion
excretory system
exergonic reaction
exocrine glands
exocytosis
exon
exoskeleton
exotoxin
exponential growth
expression vector
expressivity
extinct
extracellular matrix
extraembryonic membranes
factor
facilitated diffusion
facultative anaerobe
fad
fallopian tube
family
fat
fatty acid
feedback inhibition
feedback systems
fermentation
fertilization
fetus
fiber
fibril
fibrin
fibroblast
fibrous protein
filament
filtrate
filtration
first law of thermodynamics
fitness
fixed action pattern
flaccid
flagellum
flagella
flower
fluid-feeder
fluid mosaic model
follicle
follicle-stimulating hormone
food chain
food web
fossil
founder effect
fovea
fragile x syndrome
frameshift mutation
free energy
free energy of activation
frequency-dependent selection
fruit
function
functional group
g protein
g-protein linked receptor
g phase
gametangium
gametangia
gamete
gametophyte
ganglion
ganglia
gap junction
gap phases
gastric
gastrin
gastrovascular cavity
gastrula
gastrulation
gated ion channel
gause's principle
gel electrophoresis
gene
gene amplification
gene cloning
gene flow
gene pool
genetic code
genetic drift
genetic isolation
genetic map
genetic recombination
genome
genomic imprinting
genomic library
genotype
genus
genera
geographical range
geological time scale
germ cells
germination
gibberellin
gill
gland
glial cell
globular protein
glomerulus
glucagon
glucocorticoid
glucose
glycerol
glycocalyx
glycogen
glycolipids
glycolysis
glycoprotein
golgi apparatus
gonadotropins
gonads
graded potential
gradualism
gram stain
granum
grana
gravitropism
greenhouse effect
gross primary productivity
gross productivity
ground meristem
ground tissue system
growth factor
guard cell
guttation
gymnosperm
habitat
habituation
half-life
haploid cell
hardy-weinberg equilibrium
hardy-weinberg theorem
haustorium
haustoria
haversian system
heat
heat of vaporization
heat-shock protein
helper t cell
heme
hemoglobin
hemophilia
hemolymph
hepatic
hepatic portal vessel
herbaceous
herbivore
heredity
hermaphrodite
heterochromatin
heterochrony
heterocyst
heteromorphic
heterosporous
heterotroph
heterozygote
heterozygote advantage
heterozygous
hibernation
histamine
histone
hiv
holoblastic cleavage
homeobox
homeosis
homeostasis
homeotherm
homeotic genes
hominid
hominoid
homologous chromosomes
homologous structures
homology
homosporous
homozygote
homozygous
hormone
host
human genome project
human immunodeficiency virus
humoral immunity
hybrid
hybrid zone
hydrocarbon
hydrogen bond
hydrolysis
hydrogen ion
hydrophilic
hydrophobic
hydrostatic skeleton
hydroxyl group
hyperpolarization
hypertonic solution
hypha
hypothalamus
hypothesis
hypotonic solution
ichthyologist
imaginal disk
imbibition
immune response
immunoglobulin
imprinting
inbreeding
inclusive fitness
incomplete dominance
incomplete flower
incomplete metamorphosis
independent assortment
independent variable
indeterminate cleavage
indeterminate growth
induced fit
induction
inflammatory response
ingestion
inhibitory postsynaptic potential
innate releasing mechanism
inner cell mass
inositol trisphosphate
insertion
insertion sequence
insight learning
instar
insulin
interferon
interleukin
intermediate filament
interneuron
internode
interphase
interstitial cells
interstitial fluid
intertidal zone
intrinsic rate of increase
introgression
intron
invagination
inversion
invertebrate
in vitro fertilization
ion
ionic bond
isogamy
isolating mechanisms
isomer
isomorphic generations
isotonic solution
isotope
joule
juvenile hormone
juxtaglomerular apparatus
k-selection
karyogamy
karyokinesis
karyotype
keratin
keystone predator
keystone species
kidney
kilocalorie
kin selection
kinesis
kinetic energy
